GEO_ID,NAME,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino
0500000US01001,"Autauga County, Alabama",39614.0,2.0,8.4,32.8,19.6,9.1,16.4,46577,25871,62660.0,30968,2.8,38.1,15.1,21.9,9.5,15.5,74.6,19.9,5.3,0.1,13.6,18.7,164900.0,1245.0,1085.0,58239,75.1,19.7,0.2,1.1,0.0,3.0
0500000US01003,"Baldwin County, Alabama",161977.0,2.1,6.9,27.4,21.7,9.5,20.6,183804,104367,64346.0,35384,3.7,36.1,17.8,23.6,9.5,13.0,78.5,13.6,7.8,0.1,9.2,11.3,226600.0,1391.0,1093.0,227131,84.5,8.8,0.6,1.0,0.0,4.7
0500000US01005,"Barbour County, Alabama",17995.0,7.4,16.9,36.7,20.5,7.3,6.7,20639,8561,36422.0,21325,8.6,25.6,20.7,19.9,12.2,21.6,74.4,21.2,4.1,0.3,26.5,43.7,89500.0,1023.0,605.0,25259,45.5,47.4,0.3,0.4,0.0,4.7
0500000US01007,"Bibb County, Alabama",16057.0,6.2,13.3,43.9,18.0,6.7,7.9,18333,8223,54277.0,24787,9.7,22.0,16.8,21.5,16.6,23.1,83.8,11.5,4.7,0.0,16.9,28.0,102900.0,1071.0,744.0,22412,75.9,22.3,0.1,0.2,0.0,2.8
0500000US01009,"Blount County, Alabama",40668.0,6.8,9.6,35.1,21.5,12.1,9.3,46871,24244,52830.0,27309,6.0,28.2,13.8,21.6,15.3,21.1,80.3,11.5,7.9,0.3,13.2,17.3,138100.0,1161.0,691.0,58884,92.5,1.3,0.3,0.4,0.1,9.5
0500000US01011,"Bullock County, Alabama",6877.0,6.4,16.0,41.3,19.2,5.4,8.1,8188,3818,29063.0,21012,3.0,19.9,16.7,10.7,14.9,37.8,79.1,17.0,3.9,0.0,30.9,49.7,72600.0,1257.0,473.0,10386,24.8,69.0,0.0,0.4,0.0,8.5
0500000US01013,"Butler County, Alabama",13384.0,3.8,10.6,45.2,18.7,7.6,8.1,15232,7567,45236.0,23897,6.5,26.6,15.3,21.8,12.1,24.2,81.3,14.3,4.3,0.1,18.2,29.6,93500.0,1011.0,666.0,19181,51.6,44.8,0.2,1.5,0.0,1.6
0500000US01015,"Calhoun County, Alabama",80263.0,4.3,10.5,34.6,23.2,7.9,11.4,94127,49073,50977.0,26440,7.0,30.1,18.1,21.8,9.6,20.3,75.8,18.8,5.2,0.1,17.5,21.6,123200.0,1089.0,752.0,116425,72.8,21.5,0.2,0.8,0.2,4.0
0500000US01017,"Chambers County, Alabama",24828.0,6.0,11.2,36.2,23.1,9.8,9.6,28363,15478,47232.0,24840,3.2,26.3,16.6,17.6,9.4,30.0,82.2,13.1,4.5,0.2,15.1,25.3,107000.0,1030.0,790.0,34834,56.9,40.1,0.2,1.0,0.0,2.7
0500000US01019,"Cherokee County, Alabama",18436.0,7.3,12.8,36.9,19.5,10.6,6.2,20798,9794,43475.0,26867,4.7,32.1,15.1,16.3,13.1,23.5,76.8,16.0,6.8,0.3,15.0,18.8,141000.0,1186.0,682.0,24975,91.5,4.7,0.3,0.1,0.0,1.8
